06.03.2023 11:51:24.624 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 4612 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 11:51:24.627 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 11:51:41.054 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 17.546 seconds (JVM running for 21.289)
06.03.2023 11:53:48.938 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 13968 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 11:53:48.940 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 11:54:02.759 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 14.882 seconds (JVM running for 17.882)
06.03.2023 11:58:29.825 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 14104 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 11:58:29.835 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 11:58:49.440 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 20.841 seconds (JVM running for 24.023)
06.03.2023 12:03:37.219 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 14836 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 12:03:37.222 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 12:03:51.342 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 15.215 seconds (JVM running for 18.247)
06.03.2023 12:04:40.259 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 5548 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 12:04:40.262 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 12:04:54.765 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 15.591 seconds (JVM running for 18.651)
06.03.2023 12:05:43.151 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 612 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 12:05:43.159 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 12:05:58.751 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 16.733 seconds (JVM running for 19.61)
06.03.2023 12:07:27.611 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 7516 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 12:07:27.613 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 12:07:42.074 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 15.544 seconds (JVM running for 18.682)
06.03.2023 12:43:08.397 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 14344 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 12:43:08.400 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 12:43:24.625 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 17.256 seconds (JVM running for 20.288)
06.03.2023 12:45:10.347 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 1108 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 12:45:10.350 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 12:45:29.997 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 20.848 seconds (JVM running for 24.006)
06.03.2023 12:47:44.777 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 13148 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 12:47:44.784 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 12:47:59.406 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 15.764 seconds (JVM running for 18.952)
06.03.2023 13:01:19.380 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 16992 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 13:01:19.384 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 13:01:34.709 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 16.435 seconds (JVM running for 19.237)
06.03.2023 13:02:29.570 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 16268 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 13:02:29.578 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 13:02:44.987 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 16.554 seconds (JVM running for 19.567)
06.03.2023 13:03:13.223 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 7736 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 13:03:13.226 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 13:03:27.946 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 15.821 seconds (JVM running for 18.73)
06.03.2023 13:04:35.491 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 5032 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 13:04:35.497 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 13:04:50.240 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 15.841 seconds (JVM running for 19.713)
06.03.2023 13:05:27.871 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 11692 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 13:05:27.879 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 13:05:42.256 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 15.511 seconds (JVM running for 19.553)
06.03.2023 13:06:12.167 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 8196 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 13:06:12.170 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 13:06:28.376 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 17.329 seconds (JVM running for 20.883)
06.03.2023 13:21:12.183 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 13404 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 13:21:12.185 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 13:21:31.227 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 20.037 seconds (JVM running for 22.895)
06.03.2023 13:22:01.721 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 9468 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 13:22:01.724 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 13:22:17.663 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 17.405 seconds (JVM running for 20.748)
06.03.2023 13:25:36.827 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 12412 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 13:25:36.829 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 13:25:53.153 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 17.523 seconds (JVM running for 20.388)
06.03.2023 13:29:25.076 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 8732 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 13:29:25.078 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 13:29:39.574 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 15.704 seconds (JVM running for 18.614)
